"id","text","author_username","author_id","created_at","like_count","reply_count","retweet_count","quote_count","bookmark_count","impression_count","lang","conversation_id","hashtags","mentions","x_fetched_at"
"1956224260143505498","Makan Bergizi Gratis bukan semata program sosial, melainkan fondasi untuk menciptakan generasi yang sehat, cerdas, dan produktif. PBB mengatakan bahwa MBG adalah investasi terbaik yang dapat dilakukan sebuah bangsa.","pco_ri","1723861872242503680","2025-08-15 05:19:43","0","1","0","0","0","240","in","1956223368820351391","[]","[]","2025-10-04 11:12:40"
"1962122943884116182","This om can save his ass if he just go to Anwar and introduce Bantuan Warga 1 Indonesia.

The same like his freaking Makan Bergizi Gratis. Come to Malaysia and learn how RMT works. 🙂‍↔️

Indonesian Presidents and their ego.","sjfi_twider","1247462449722212358","2025-08-31 11:58:58","80","3","12","2","8","5590","en","1962122943884116182","[]","[]","2025-09-14 03:20:20"
"1965422516543127806","#SSInfo [20 Siswa di Pamekasan Diduga Keracunan]
 
Sebanyak 20 siswa di Kecamatan Tlanakan dibawa ke puskesmas dan rumah sakit diduga keracunan usai konsumsi Makan Bergizi Gratis (MBG) di Pamekasan, Jawa Timur, Selasa (9/9/2025). 

Kompas melaporkan, siswa mulai berdatangan ke puskemas sekitar pukul 17.00 WIB baik ke Puskemas Tlanakan dan Puskemas Bandaran. 

Sejumlah siswa berasal dari dua lembaga pendidikan swasta di Desa Branta Tinggi, antara lain lembaga pendidikan Al-Falah dan Al-Amin. Lembaga pendidikan tersebut setingkat SD dan SMP, namun belum diketahui identitas siswa yang diduga keracunan ada di tingkat mana.(ss-is)","e100ss","848614550","2025-09-09 14:30:18","101","20","41","17","3","14503","in","1965422516543127806","[""#SSInfo""]","[]","2025-09-20 17:09:06"
"1970054130245959917","Wakil Ketua Komisi IX DPR Yahya Zaini mengusulkan agar pelaksanaan program Makan Bergizi Gratis (MBG) dikelola oleh masing-masing sekolah penerima manfaat.

Baca di sini: https://t.co/YBry4Kqm1M

/ #DPR #MakanBergiziGratis https://t.co/5kuWtdh5xq","kompascom","23343960","2025-09-22 09:14:41","263","141","61","97","17","148413","in","1970054130245959917","[""#DPR"",""#MakanBergiziGratis""]","[]","2025-09-23 14:07:57"
"1971010555642356051","Wakil Kepala Badan Gizi Nasional (BGN) Nanik S. Deyang menyampaikan permohonan maaf atas kasus keracunan massal yang menimpa ratusan anak peserta program Makan Bergizi Gratis (MBG), khususnya di Bandung Barat. 

Sc: investordailyid
—

Wakil Kepala BGN lebih low profile dibanding Kepala BGN yang cuma main di angka-angka, seolah itu suatu perbandingan antara kecelakaan manfaat dari jumlah yang sudah dikerjakan. 
Wakil Kepala BGN bu Nanik, evaluasi bu secara menyeluruh hingga 0 angka keracunan.","MariaAlkaff_","77654478","2025-09-25 00:35:10","90","28","47","6","5","4142","in","1971010555642356051","[]","[]","2025-09-29 14:14:35"
"1973737616681165195","Kan, bener aja akhirnya kejadian di Bekasi

Enam siswa SDN Kota Baru 3  Kota Bekasi diduga keracunan makan bergizi gratis (MBG) https://t.co/0D4QOXyiB4","txtdrbekasi","1251309931493355522","2025-10-02 13:11:32","306","23","109","7","11","23099","in","1973737616681165195","[]","[]","2025-10-12 14:13:37"
"1954718433549210026","Sementara pihak tertentu sibuk menyebar rumor, PRABOWO GIBRAN bekerja memperkuat program strategis. Dari Makan Bergizi Gratis hingga Sekolah Rakyat, kolaborasi terus diperkuat. #KerukunanBangsa","inez09082000","1548841339508310016","2025-08-11 01:36:06","0","1","0","0","0","10","in","1954718371246919826","[""#KerukunanBangsa""]","[]","2025-08-13 01:10:16"
"1962156187644051582","@prabowo 8.Reformasi sistem pemilu dan kepartaian yang menguntungkan oligarki dan menciptakan oligarki baru
9.Hapuskan program Makan Bergizi Gratis (MBG) yang merusak alokasi dana pendidikan
10.Turunkan pajak-pajak bagi masyarakat bawah dan naikkan pajak bagi kalangan atas (elit)","ahmadmustanir","292826573","2025-08-31 14:11:04","1","1","0","0","0","909","in","1962095963067281680","[]","[""@prabowo""]","2025-09-14 03:24:53"
"1962499433788301516","@abglongfadh @IniAlalalannn Kemarin pas ada banyak keracunan makan bergizi gratis untuk siswa, solusi dari DPRD nya ""guru di sekolah diminta untuk cuba makanannya biar tau akan keracunan atau enggak"".","tangerines_myg","1759219332641398784","2025-09-01 12:55:01","20","1","6","2","1","6278","in","1961797166453891072","[]","[""@abglongfadh"",""@IniAlalalannn""]","2025-09-17 00:11:33"
"1963851905609990214","makan bergizi gratis rugi, kcic rugi, ikn rugi siapa yang harus ditangkap?","dubbiidam","181727785","2025-09-05 06:29:15","0","0","0","0","0","85","in","1963851905609990214","[]","[]","2025-09-13 16:49:32"
"1969601005613695140","Komisi Perlindungan Anak Indonesia (KPAI) mendesak pemerintah mengevaluasi secara menyeluruh program Makan Bergizi Gratis (MBG). Sebab, kasus keracunan yang dialami anak karena MBG semakin banyak terjadi.

#IDNTimesNews

https://t.co/dj61no8XRs https://t.co/PgXrrNS9mZ","IDNTimes","388190238","2025-09-21 03:14:07","3","0","4","0","0","474","in","1969601005613695140","[""#IDNTimesNews""]","[]","2025-09-22 05:06:51"
"1970391300894793836","Diduga Siswa Keracunan MBG di Bandung Barat

Kabid Humas Polda Jabar, Kombes Pol. Hendra Rocmawan, menyampaikan hingga kini Dinas Kesehatan Kabupaten Bandung Barat dan Sidokkes Polres Cimahi masih melakukan perawatan terhadap 235 siswa-siswi yang diduga mengalami keracunan akibat mengkonsumsi menu Makan Bergizi Gratis (MBG) di Desa Cijambu, Kecamatan Cipongkor, Kabupaten Bandung Barat, Jawa Barat.

Untuk menangani kasus ini, para korban telah ditempatkan di beberapa fasilitas kesehatan. Di antaranya: Posko Puskesmas Cililin 24 orang, RSUD Cililin 9 orang, Posko Kesehatan Cililin 182 orang, dan RSIA Anugerah 20 orang, dengan total 235 orang dalam perawatan. Selain itu, 107 orang berobat jalan, sehingga total sebanyak 342 orang. Rata-rata korban mengalami mual, muntah, pusing, diare, sesak napas, demam, sakit perut, dan lemas.

Para korban berasal dari berbagai jenjang pendidikan, mulai PAUD, SD, MTs, SMP, hingga SMK di Kabupaten Bandung Barat.

Menurut Hendra, saat ini Tim Dokkes Polres Cimahi, Dinas Kesehatan KBB, dan Tim Reserse Polres Cimahi tengah melakukan penyelidikan terkait kasus ini. Langkah-langkah yang dilakukan antara lain pengambilan sampel bahan baku, menu makanan yang dikonsumsi, hingga muntahan korban, guna memastikan penyebab keracunan.

Kasus ini terus menjadi fokus aparat dan pihak kesehatan untuk memastikan keamanan dan keselamatan para siswa. Demikian dikatakan Kabid Humas Polda Jabar, Kombes Pol. Hendra Rocmawan, Selasa (23/9). (Ens) 
#BeritaElshinta","RadioElshinta","121640063","2025-09-23 07:34:28","1302","217","827","268","102","590635","in","1970391300894793836","[""#BeritaElshinta""]","[]","2025-10-07 23:31:50"
"1952038018954694915","Semoga generasi muda  mendatang makin cerdas, kita baru memulai dgn pelajar makan bergizi gratis yang dicanangkan bp presiden @prabowo
🇮🇩💪 @AgusYudhoyono
@Yusrilihza_Mhd
@DPDRI
@DPDRI
@Kemdikdasmen
@Kemdiktisaintek
@itbofficial
@ipbofficial
@BEMUI_Adkesma
https://t.co/4LdbvWKsix","StelaPoan","1852322970733355008","2025-08-03 16:05:05","0","0","0","0","0","44","in","1952038018954694915","[]","[""@prabowo"",""@AgusYudhoyono"",""@Yusrilihza_Mhd"",""@DPDRI"",""@DPDRI"",""@Kemdikdasmen"",""@Kemdiktisaintek"",""@itbofficial"",""@ipbofficial"",""@BEMUI_Adkesma""]","2025-08-13 01:20:16"
